ID,label
train_00000.png,SNE
train_00001.png,LY
train_00002.png,SNE
train_00003.png,LY
train_00004.png,LY
train_00005.png,MO
train_00006.png,LY
train_00007.png,BL
train_00008.png,LY
train_00009.png,SNE
train_00010.png,SNE
train_00011.png,SNE
train_00012.png,MO
train_00013.png,LY
train_00014.png,SNE
train_00015.png,VLY
train_00016.png,SNE
train_00017.png,LY
train_00018.png,VLY
train_00019.png,SNE
train_00020.png,SNE
train_00021.png,SNE
train_00022.png,LY
train_00023.png,LY
train_00024.png,BNE
train_00025.png,SNE
train_00026.png,BL
train_00027.png,SNE
train_00028.png,SNE
train_00029.png,LY
train_00030.png,SNE
train_00031.png,SNE
train_00032.png,LY
train_00033.png,SNE
train_00034.png,BNE
train_00035.png,SNE
train_00036.png,MO
train_00037.png,BA
train_00038.png,MO
train_00039.png,SNE
train_00040.png,SNE
train_00041.png,LY
train_00042.png,SNE
train_00043.png,LY
train_00044.png,SNE
train_00045.png,MMY
train_00046.png,SNE
train_00047.png,LY
train_00048.png,LY
train_00049.png,LY
train_00050.png,SNE
train_00051.png,BL
train_00052.png,MO
train_00053.png,SNE
train_00054.png,LY
train_00055.png,SNE
train_00056.png,MMY
train_00057.png,LY
train_00058.png,LY
train_00059.png,MO
train_00060.png,MO
train_00061.png,SNE
train_00062.png,BL
train_00063.png,SNE
train_00064.png,SNE
train_00065.png,MO
train_00066.png,MO
train_00067.png,LY
train_00068.png,VLY
train_00069.png,LY
train_00070.png,SNE
train_00071.png,SNE
train_00072.png,SNE
train_00073.png,LY
train_00074.png,SNE
train_00075.png,SNE
train_00076.png,SNE
train_00077.png,SNE
train_00078.png,MY
train_00079.png,SNE
train_00080.png,LY
train_00081.png,SNE
train_00082.png,BL
train_00083.png,SNE
train_00084.png,LY
train_00085.png,BL
train_00086.png,SNE
train_00087.png,LY
train_00088.png,EO
train_00089.png,BL
train_00090.png,SNE
train_00091.png,SNE
train_00092.png,SNE
train_00093.png,EO
train_00094.png,SNE
train_00095.png,SNE
train_00096.png,LY
train_00097.png,LY
train_00098.png,SNE
train_00099.png,SNE
train_00100.png,MO
train_00101.png,SNE
train_00102.png,LY
train_00103.png,SNE
train_00104.png,LY
train_00105.png,SNE
train_00106.png,LY
train_00107.png,BL
train_00108.png,SNE
train_00109.png,LY
train_00110.png,SNE
train_00111.png,SNE
train_00112.png,MO
train_00113.png,SNE
train_00114.png,LY
train_00115.png,LY
train_00116.png,LY
train_00117.png,SNE
train_00118.png,LY
train_00119.png,SNE
train_00120.png,SNE
train_00121.png,SNE
train_00122.png,SNE
train_00123.png,LY
train_00124.png,SNE
train_00125.png,SNE
train_00126.png,EO
train_00127.png,LY
train_00128.png,VLY
train_00129.png,LY
train_00130.png,SNE
train_00131.png,LY
train_00132.png,SNE
train_00133.png,SNE
train_00134.png,SNE
train_00135.png,SNE
train_00136.png,SNE
train_00137.png,SNE
train_00138.png,SNE
train_00139.png,SNE
train_00140.png,SNE
train_00141.png,BL
train_00142.png,LY
train_00143.png,LY
train_00144.png,SNE
train_00145.png,LY
train_00146.png,LY
train_00147.png,LY
train_00148.png,MO
train_00149.png,LY
train_00150.png,LY
train_00151.png,SNE
train_00152.png,SNE
train_00153.png,LY
train_00154.png,LY
train_00155.png,SNE
train_00156.png,PMY
train_00157.png,BL
train_00158.png,LY
